,Code ISIN,Dénomination,Yahoo query
482,FR0010143545,HSBC Actions Patrimoine (C),PATRIMC
483,FR0012020741,Kirao Multicaps AC,KIRMCAC
484,FR0010657122,Mandarine Opportunités R,MANOPPR
485,FR0010298596,Moneta Multi Caps C,MONMLCP
486,FR0010475772,Oudart Actions Françaises P,OUDAFRP
487,FR0000422842,Pluvalca Allcaps A,PLUVFRA
488,FR0007373469,Richelieu France R,
489,FR0010431015,SG Actions France Sélection,SGFRSEL
490,FR0000973711,Valfrance,PVALFRE
491,FR0010458190,Vega France Opportunités RC,LACFROP
493,FR0010561415,Amilton Small Caps R,AMISMAC
494,FR0010532101,Amplégest Mid Caps AC,AMIDCAP
495,FR0011631050,Amplégest PME AC,AMPMEAC
496,FR0000170391,AXA France Small Cap (C),AXASMAC
497,FR0007073788,Boscary Uzès Sélection,MWBOMBS
498,FR0007040712,BSO 3000,BSO3000
499,LU1379103572,Claresco Avenir P,CLAVENP
500,LU1379104208,Claresco PME P,PMECLAP
501,FR0011749613,Cogefi Chrysalide P,CCHRYSP
502,FR0010565366,CPR Middle-Cap France D,MOBICRO
503,FR0010601971,HMG Découvertes C,HMGDECC
504,FR0010909523,FDE Midcaps AC,ALP50AC
505,LU0261948060,Fidelity Fds France A (C),FFFAEEUR
506,FR0007064324,Generali France Future Leaders C,GENFRSM
507,FR0013333580,Haas Actions Entrepreneurs C,HAAENTC
508,FR0012299238,Haas Actions Opportunités C,
509,FR0011271550,Keren Essentiels C,KERESSC
510,FR0012633311,Kirao Smallcaps AC,KIRSCI2
511,FR0000988933,MAM Entreprises Familiales C,MEENTFA
512,FR0000970923,MAM France PME,FRANIND
513,FR0013280849,Mandarine Entrepreneurs R,MANENTR
514,FR0010262436,Lazard Small Caps France A,OBJSMAR
515,FR0010679902,Lazard Small Caps France R A/I,OBJSMCR
516,FR0000989899,Oddo BHF Avenir CR-EUR,ODDAVEC
517,FR0010166140,Oudart Opportunités France P,OUDOPPF
518,FR0000422859,Pluvalca France Small Caps A,PLUVFSM
519,FR0013186319,Portzamparc Entrepreneurs C,PORENTC
520,FR0000989543,Portzamparc PME C,LFIPME1
521,FR0011466093,Quadrige France Smallcaps,INOQUAC
522,FR0011640986,Quadrige Rendement France Midcaps C,INOQUCC
523,FR0010092197,Richelieu Croissance PME R,
524,FR0010286005,Sextant PEA A,AMSEPEA
525,FR0010922963,Sunny Managers F,REACFIF
526,FR0010111732,Sycomore Francecap R,SYCMICR
527,FR0011645670,Tiepolo PME,LFITIEP
528,FR0010501296,Tiepolo Rendement (C),TIERENC
529,FR0010501312,Tiepolo Valeurs,TIEPVAL
530,FR0010546960,Tocqueville Odyssée,TOCFINC
531,FR0011608421,Tocqueville PME P,TOCPMEP
533,FR0010645515,SLF (F) Equity Euro Zone Min Vol P,SLFEUZP
534,LU0094707279,SLF (Lux) Equity Euro Zone,SWIEQUA
535,LU0256839944,Allianz Euroland Equity Growth A EUR,RCMEEGA
536,FR0010458745,Amundi Actions Euro ISR P,SICEURS
537,FR0007024930,Arca Florilège,ARCAFLO
538,FR0013220621,Belharra Euro R,BELHEUR
539,LU0093502762,BGF Euro-Markets A2 EUR,MEREMAI
540,FR0010137166,BNP Paribas Euro Valeurs Durables (C),
541,FR0007472659,BSO Europe,BSOEURF
542,FR0010953794,CBT Action Eurovol 20 R,CBTAEUR
543,FR0010744532,CPR Euroland P,ABFEUR1
544,FR0010199091,Ecofi Actions Rendement Euro (C),ECACTRC
545,FR0010505578,EdR Euro Sustainable Growth,STHOPME
546,LU1616921158,Eleva UCITS Eleva Euroland Sel A2EUR acc,EESA2EA
547,FR0000004970,Epargne Ethique Actions C,COCEPET
548,FR0007485230,Hottinguer Actions Europe,HRGHEAP
549,LU0165074666,HSBC GIF Euroland Equity A (C),HSBEURQ
550,FR0000437113,HSBC Sustainable Euroland Equity A A/I,SELVINGT
551,LU1240329380,Invesco Eur Eq E EUR Acc,INVEACE
552,FR0010259945,Lazard Actions Euro A,OBJACEU
553,FR0010828913,Lazard Alpha Euro A A/I,OBJALPH
554,FR0010830240,Lazard Alpha Euro R A/I,OBJALPR
555,FR0010586024,Lazard Dividendes Min VaR C,LFOBDVC
556,FR0000003998,Lazard Equity SRI C,LOBETHQ
557,FR0013204187,Lazard Equity SRI RC EUR,LAZERCE
558,FR0011537653,Lazard Recovery Eurozone R A/I,OBJREUR
559,FR0000008963,LBPAM ISR Actions Euro C,POETHIC
560,FR0010028704,LMdG Actions Rendement Euro C,INGPEAC
561,FR0000448987,MAM Human Values (C),MEESAET
562,FR0011351626,Mandarine Active R,
563,FR0012144590,Mandarine Optimal Value R,MANVOVR
564,FR0010632364,Metropole Value SRI A,METVSRI
565,FR0013275112,OFI Financial Invmt Rs Euro Eq Part R,OFIREER
566,FR0010259382,Ostrum Actions Euro Value R,
567,FR0013261807,Quadrige Multicaps Europe C,INOQMCC
568,FR0013176435,RMA Entrepreneurs Impact Europe P,
569,LU0106235293,Schroder ISF Euro Equity A (C),SCHEEAA
571,FR0007027115,Construction Européenne Value,
572,FR0012316180,DNCA Opportunites Zone Euro C,DNCAECE
573,FR0011038785,Dorval Manageurs Europe C,DORVMEC
574,FR0011360700,Echiquier Value Euro A,ECHVALU
575,FR0010214213,Ecofi Actions Croissance Euro (C),ECACCEC
576,LU1730854608,EdRF - Euro Core A EUR,EDEECAE
577,FR0010752964,FDE Multicaps Europe AC,AMPPRMU
578,FR0010560664,Fourpoints Euro Global Leaders R,PIMEURA
579,FR0010361667,FOX Sélection,OXFXSEL
580,FR0000970881,MAM Europa Growth,MEEFRNE
581,FR0000978090,MAM Europa Select,MEESVAL
582,FR0010574434,Oddo BHF Génération CR-EUR,ODDGENC
583,FR0007035159,Prévoir Gestion Actions,CIPREDI
584,FR0010117093,Sycomore European Growth R,SYSMTWR
585,FR0011169341,Sycomore Sélection Responsable R,SYSEREA
586,FR0010546903,Tocqueville Ulysse C,ULYSSEC
588,FR0007061882,Erasmus Mid Cap Euro R,CRMIDCP
589,FR0010288308,Groupama Avenir Euro N,FIGRAVN
590,FR0000990095,Oddo BHF Avenir Euro CR-EUR,ODDPIFR
591,FR0012326791,Quadrator R,MFQUARC
592,FR0000447328,CM-CIC Euro Mid Cap C,
594,FR0013188364,Erasmus Small Cap Euro E,ERSMCEE
595,FR0011640887,Erasmus Small Cap Euro R,EGPPMER
596,FR0000174310,Lazard Small Caps Euro A A/I,LAZOSCE
597,FR0010689141,Lazard Small Caps Euro R A/I,LAZOSCR
598,FR0010426072,Portzamparc Europe PME C,PORAEUC
599,FR0007071931,Prévoir Perspectives C,CIPREPE
600,FR0007468798,R-co Families and Entrepreneurs C EUR,BMMACOP
601,FR0010376368,Synergy Smaller Cies R,SYNSMAR
603,GB0000796242,Baring Europe Select Trust GBP,BAREUSI
604,LU0256787531,LO Funds Eurozone Small & Mid Caps P (C),LUKCEPA
605,FR0013072097,Quadrige Europe Midcaps C,QUADEUR
607,FR0010058008,DNCA Value Europe C,DNCCEUC
608,LU0140363002,Franklin Mutual European A EUR (C),TEMFMEE
609,FR0010554303,Mandarine Valeur R,MANDVAL
610,FR0007078811,Metropole Sélection A,METSELC
611,LU0187077218,SAM Sustainable European Equities D EUR,ROBEURE
613,FR0000989410,Richelieu Europe Quality R,RICHEUR
614,LU1626130220,Synchrony (LU) High Dividend Eurp Stks A,SYNHESA
615,LU1049885806,THEAM Quant - Eq Europe Income C,
616,FR0011465681,Tiepolo Europe Rendement,LAFLAFI
617,FR0010546929,Tocqueville Dividende C,TOCDIVC
619,FR0010074914,SLF (F) Equity Europe Minimum Vol C,SLFAEUR
620,FR0000991432,Amundi Actions Europe ISR P C/D,CACDURA
621,FR0000289902,Amundi Actions Europe P,ATOUSEL
622,FR0011092436,Arc Actions Rendement,FINARCE
623,FR0013196722,Athymis Millennial Europe P,ATHMIEP
624,LU0851564897,BCGE Synchrony (LU) Funds – PEA A ,
625,FR0010651224,BDL Convictions,BDLCONV
626,FR0010137646,BG Long Term Value Z,
627,FR0007079132,Cogefi Europe P,COGEURP
628,FR0010223537,Delubac Pricing Power P,DAMEXEU
629,LU0145635123,Deutsche Invest I Top Europe NC,DWSEENC
630,LU1102959951,EdRF - Europe Synergy A-EUR Acc,EDRESAE
631,FR0011003391,Enjeux Europe R,
632,FR0000008674,Fidelity Europe,FIDEURO
633,LU0048578792,Fidelity Fds European Growth A (D),FIDLEUI
634,LU1234787460,Generali IS SRI Ageing Population DX EUR,GLSRIDX
635,LU0164906959,HSBC GIF European Equity A (C),HSBPNEU
636,FR0000294613,Lazard Alpha Europe A,OBJVALE
637,FR0012817567,Lazard Equity Expansion A,LAZEQEA
638,FR0013221116,Lazard Patrimoine Actions,OBPATAC
639,LU1230572874,LO Funds Eurp Rspnb Eq Enh EUR PA,LOEEPAE
640,FR0000003188,Natixis Stratégie Min Variance Europe,EURACTV
641,FR0010738153,Otea Actions Europe R,OTEAPEA
642,FR0010418053,Oudart Europe P,OUDEURP
643,LU1100076808,Rouvier Europe,ROUVEUR
644,FR0013252459,SAM Allocation Réactive,SALLCAC
645,LU0935229400,Seeyond Europe MinVariance R/A EUR,NATMVER
646,FR0010734046,SLGP ValEurope A/I,CAPFACT
647,LU1235104293,THEAM Quant - Eq Europe Guru C C,TQEEGUC
648,FR0010626796,Véga Europe Convictions,VEGCEQD
650,LU0154234636,BGF European Special Situations A2 EUR,MLEUGRA
651,LU0344046312,Candriam Eqs L Europe Innovation N,DEXEUIN
652,LU0099161993,Carmignac Grande Europe A EUR acc,CAREURC
653,FR0010836163,CPR Silver Age P A/I,CPRSAGP
654,FR0010321828,Echiquier Major SRI Growth Europe A,ECHMAJR
655,LU0119124781,Fidelity Fds European Dyn Growth A (D),FIDEMCF
656,FR0013267150,Ofi RS European Growth Climate Change RC,OFGCCRC
657,FR0000295230,Renaissance Europe C,RENSEUR
658,FR0007045737,Richelieu Pragama Europe R,RICHINV
659,LU0246035637,Schroder ISF Europ Special Sit A,SCHESSA
661,LU0524465977,Alken European Opportunities A,ALKEUOA
662,LU1250158919,Auris SICAV Evolution Europe R Cap,EEVREUR
663,LU0323041763,Digital Stars Europe R,DFSTARR
664,LU0870553459,DNCA Invest Europe Growth B,DIEGRBE
665,LU1490785091,DNCA Invest Norden Europe A EUR,DNNEAAE
666,FR0010321802,Echiquier Agressor,ECHAGRE
667,FR0010330902,Echiquier Agressor PEA,ECHAPEA
668,FR0010863688,Echiquier Positive Impact,ECHENVI
669,LU0049412769,LO Funds - Europe High Conv P A,LOMEURI
670,LU0308864023,MainFirst Top European Ideas A,MFTPEIA
671,FR0007495601,Mansartis Europe (C),VIGFPEA
672,FR0000974149,Oddo BHF Avenir Europe CR-EUR,ODEUMIC
673,FR0007075155,R Opal Europe Special,ROTEMUS
674,FR0010237503,Roche-Brune Europe Actions P,RBCAPAC
675,FR0010546945,Tocqueville Megatrends C,ITHAQUC
676,FR0010547067,Tocqueville Value Europe P,TOCHLDP
678,FR0010149112,Carmignac Euro-Entrepreneurs A EUR Acc,CARFNOM
679,LU1366712435,DNCA Invest Archer Mid-Cap Europe A EUR,DNCAMEA
680,FR0010321810,Echiquier Agenor Mid Cap Europe A,ECHAGEN
681,FR0010177998,EdR Europe Midcaps A,EUROPME
682,LU1920214563,Eleva UCITS Eleva Ldrs SMCap Eurp A2€acc,
683,FR0013342045,Eres Multigestion PME A,ERESMPA
684,LU0489687243,Mandarine Unique Sm & Mid Caps Europe R,MANUSMR
685,FR0000978454,Palatine Europe Small Cap,
687,FR0010687749,Amilton Premium Europe R,SWASILT
688,FR0010762518,Cogefi Prospective P,COGPROS
689,FR0011558246,Echiquier Entrepreneurs,ECHENTR
690,LU0061175625,Fidelity Fds European Smaller Cos A (D),FIDFESI
691,LU1303940784,Mandarine Europe Microcap,MANEMRE
692,FR0011585520,Nova Europe A,NOVAEUA
693,LU0130732364,Pictet-Small Cap Europe-P (C),PIPUEOI
695,LU1681044647,Amundi IS MSCI Nordic ETF-C,CN1
696,LU0087656699,AXA WF Frm Italy A-C EUR,AXWITAC
697,LU0087657150,AXA WF Frm Switzerland AC CHF,AXWSEAC
698,LU0052265898,CS (Lux) Small&Mid Cap Germany Eq B EUR,CRSESEUR
699,LU0284395638,DNCA Invest South European Opp A,
700,LU0261948227,Fidelity Fds Germany A (C),FFGFAEA
701,LU0048584766,Fidelity Fds Italy A,FIDLITI
702,LU0048588080,Fidelity Fds Nordic A (D),FIDLNDI
703,LU0054754816,Fidelity Fds Switzerland A (D),FIDSWLI
704,LU0997480529,Generali IS European Recovery Eq D € Acc,
705,FR0012881761,Hanséatique A,VEHANSA
706,LU0390221256,MainFirst Germany A,MFGERMA
707,LU0064675639,Nordea-1 Nordic Equity BP EUR,FRTISEQ
708,LU1079987720,Nordea 1 - Nordic Stars Equity BP EUR,NOSEBPE
709,FR0000299356,Norden,VERNORD
710,LU1626129727,Synchrony (LU) Swiss All Caps (CHF) A,SYNSACA
711,LU1626130063,Synchrony (LU) Swiss S & M Caps (CHF) A,SYNSSMA
713,LU0462862359,SLF (Lux) Equity Global High Dividend R Cap,SLEQHRA
714,FR0000973562,Ecofi Actions Rendement (C),ECACTIO
715,LU0772969993,Fidelity Global Dividend A-Acc-USD,FFGDAAU
716,LU1038895451,Fidelity Global Dividend E-Acc-EUR,FFGDEEA
717,LU1670710075,M&G (Lux) Glb Dividend A EUR Acc,MGGDEAA
718,LU0146257711,NN (L) Global High Div P Cap EUR,INGGHPC
720,LU0161986921,LO Funds Golden Age P EUR (C),DHLIFEI
722,LU1160358633,EdRF Global Value A-EUR,EDRGLVE
723,LU0211333025,Franklin Mutual Global Disc A EUR (C),FMGDAAE
724,LU0211333298,Franklin Mutual Global Disc N EUR,FMGDNAE
726,FR0011586544,Aviva Grandes Marques A A/I,AVGMARA
727,LU0851564541,BCGE Synchrony (LU) World Equity (EUR) A,BCGWEUA
728,LU0956005226,BNP Paribas Glb Eq Cl Cap,PEBSWCL
729,FR0010506071,BSO Multigestion,BSOMUTL
730,FR0012287381,CM-CIC Global Leaders C,CICGLCA
731,LU1811426342,CPR Invest GEAR World A EUR Acc,CPIGWAE
732,LU0383784146,DNCA Invest Beyond Global Leaders B EUR,LGBLBCE
733,BE0948982310,DPAM INVEST B Eqs NewGems Sust L Cap,DPABEWL
734,LU1819480192,Echiquier Artificial Intelligence A EUR,ECHARIA
735,FR0010701433,Enjeux Nouveaux Mondes,RENJNMC
736,LU1261432659,Fidelity World A-Acc-EUR,FIWAAEU
737,FR0011008762,H2O Multiequities R,H2OMERC
738,LU0147944259,Harris Associates Global Eq Fd R/A EUR,CDCOGRE
739,LU0309123817,HSBC GIF Emerging Wealth A (C),
740,FR0000438905,HSBC Sustainable Global Equity G,SESTINT
741,FR0010396416,Lazard Multigestion Actions,OBJMGAC
742,LU1670715207,M&G (Lux) Glb Select A EUR Acc,MGGSEAA
743,GB0030932676,M&G Global Themes Euro A Acc,MGGBEAA
744,LU1919842267,Oddo BHF Artificial Intelligence CR EUR,ODAICRE
745,FR0000446692,Oddo BHF Investissement CR-EUR,OGESAUD
746,LU0386882277,Pictet Global Megatrend Sel-P EUR,PFLGPCE
747,LU0270904781,Pictet Security-P EUR,PFSECPC
748,FR0013330461,R Expansion Flexible,
749,FR0010563064,R Opal Biens Réels F,
750,IE00B95LZY92,Russell Inv Global Defensive Eq U,
751,LU0935231216,Seeyond Global MinVariance R/A EUR,NATMVMR
752,FR0010286021,Sextant Autour du Monde A,AMSAMON
753,LU1626130816,Synchrony (LU) Silk Road Zone Stocks A,SYNSRZA
754,LU1951200481,Thematics Al and Robotics R/A EUR,TAIRRAE
755,LU1951204046,Thematics Meta R/A EUR,TMEFRAE
756,LU1951225553,Thematics Safety R/A EUR,TSFRAEU
757,FR0000979221,Valeur Intrinsèque P,VALINTR
759,FR0013173374,Athymis Millennial P,ATHMIL
760,FR0010148981,Carmignac Investissement A EUR Acc,CARINVT
761,FR0010312660,Carmignac Investissement E EUR Acc,CARINVE
762,FR0000284689,Comgest Monde C,CGMONDE
763,FR0010859769,Echiquier World Equity Growth,ECHGLBC
764,LU0864709349,MainFirst Global Equities Fund A,MFGLEQA
765,FR0007062567,Talents,DNCATAL
766,FR0010981175,Trusteam ROC A,TRSROCA
768,LU0868490383,AXA WF Frm Glbl Small Caps A C EUR,AXGLSAE
769,LU0868490979,AXA WF Frm Glbl Small Caps F C EUR,AXGLSFE
770,LU1329694266,Mandarine Global Microcap R,MGMCRAE
772,FR0007028287,Fourpoints America RH EUR,PIMAMER
773,LU0316494391,Franklin U.S. Opportunities A Acc € H1,TEUSACH
774,IE0009534169,Janus US Venture A EUR Acc Hedged,JAVTA1E
775,LU0157182857,JPM US Select Equity A (acc) EURH,JPUSSAH
776,FR0011010149,Natixis Actions US Growth H-R,NAUSFHR
777,FR0011146786,Ostrum Global Alpha Consumer H-R,
778,FR0011069137,R Conviction USA H,ELNUSAH
779,LU0511785726,UBS (Lux) ES USA Growth P EUR Hgd,UBUSAPA
781,LU1894683009,Amundi Fds Pinr US Eq Rsrch Val A USD C,APURVAU
782,FR0000447807,AXA Amérique Actions A (C),AXAAMAC
783,LU1103303167,EdRF - US Value & Yield A-EUR Acc,EDUVYAE
784,LU0251127410,Fidelity America A EUR (C),FIDAAEA
785,LU0048573561,Fidelity America A USD (D),FIDLAMI
786,LU0140362889,Franklin Mutual Beacon N EUR,TEMMBXE
788,LU1055220450,Swiss Life (LUX) Equity USA R USD Cap,SWLEQUR
789,FR0010153320,Amundi Actions USA ISR P,ATAMERQ
790,FR0007479316,BSO Amérique,BSOAMER
791,FR0010501858,CPR USA P,CPRAUS1
792,LU0139292113,Franklin U.S. Equity N (C) €,
793,LU0109391861,Franklin US Opportunities A (C) $,TEMAGAI
794,FR0013333549,MAM Sustain USA C,MAMSUST
795,FR0010317487,Mansartis Amérique,PGCAMRC
796,FR0007074695,Lazard Actions Américaines A,REACAME
797,FR0013254331,Lazard Actions Américaines AC H EUR,LAOACHE
798,FR0012222016,Lazard Amérique Min VaR,
799,FR0011212547,R Conviction USA C,ELNUSAS
800,FR0010547059,Tocqueville Value Amérique P,TOCVAME
802,LU0275692696,Fidelity American Growth A EUR (C),FIDAGAE
803,LU0225737302,MS INVF US Advantage A,MORAMFA
804,FR0010236877,Natixis Actions US Growth R USD,NAUSFGC
806,FR0000988669,Oddo US Mid Cap CR-EUR,ODUSMDP
807,LU0251807045,BNP Paribas US Mid Cap Classic EUR R,PARUMCE
809,LU1143164405,Allianz Japan Equity AT (H-EUR),AJEATHE
810,IE0031069721,AXA Rosenberg Japan Small Cp Alpha B EUR,AXAEUBB
811,LU0048587603,Fidelity Fds Japan Smaller Cos A (D),IPGD
812,LU0611489658,Fidelity Japan Advantage A-Eur-Hdg,FIDADEH
813,FR0010206144,Mansartis Japon,PGCJAPN
814,FR0000004012,Lazard Japon A,LOJAPAN
815,FR0010320366,Lazard Japon Couvert,OBJPCVT
817,IE0004852103,Baring Eastern Europe A EUR,BRGESEE
818,LU0062756647,DWS Osteuropa,DWSPSEU
819,LU0332315638,East Capital Eastern Europe A EUR,ECESTAE
820,LU0051759099,JPM Eastern Europe Equity A (D),FLEFEEI
821,FR0007085808,Metropole Frontière Europe,METFRON
822,FR0000978587,Ofi RCM Europe de l'Est,
823,LU0265293521,BNP Paribas Turkey Equity Classic R,FLETURC
824,LU0130728842,Pictet - Emerging Europe P EUR,PIFLU
825,LU0106817157,Schroder ISF Emerging Europe A EUR (C),SCHEMAA
827,LU0132412106,Aberdeen Global Emerging Markets Eq A2,ABEFROA
828,FR0010188383,Amundi Actions Emergents P,ATOUTEM
829,LU0327690391,AXA WF Frm Em Markets EC EUR,AXAFEUA
830,IE0004850503,Baring Global Emerging Markets EUR,BRGGEME
831,FR0010149302,Carmignac Emergents A EUR Acc,CAREMER
832,LU0336083810,Carmignac Emerging Discovery A EUR acc,CAREMDS
833,LU1103293855,EdRF - Global Emerging A-EUR Acc,EDREMAE
834,LU1048684796,Fidelity Emerging Markets A-Acc-EUR,FFEKAAE
835,LU0303816705,Fidelity Fds EMEA A EUR (C),FIEMEUR
836,LU0303816887,Fidelity Fds EMEA E,FIEMEAE
837,LU0261950470,Fidelity Fds Emerging Mkts A USD (C),FIEMAAU
838,LU0048575426,Fidelity Fds Emerging Mkts A USD (D),FIDLEMI
839,LU0048587868,Fidelity Fds Malaysia A,FLMLU
840,FR0011268705,GemEquity R,GWAGEUR
841,FR0010241240,HMG Globetrotter C,HMGGLTC
842,LU0708055370,HSBC GIF Frontier Markets A EUR Acc,HSGFACE
843,LU0318933487,JPM Em Mkts Small Cap D (acc) perf EUR,JEMSDEA
844,LU0053685615,JPM Emerging Markets Equity A USD (D),FLEFEMI
845,FR0010380675,Lazard Actions Emergentes R,OBJAEMR
846,FR0000985061,LCL Actions Emergents,INVEMER
847,LU0357530012,LO Funds Emerg Rspnb Eq Enh EUR RA,LOGEMRA
848,FR0000292278,Magellan C,MAGLNSV
849,FR0010706960,Ostrum Actions Global Emergents R,NATGEMR
850,LU0725974603,Pictet-Emerg Mkt Sustainable Eq R EUR,PTEMSRE
851,FR0010323303,R Opal Emergents F EUR,ROEMEMC
852,LU0562313402,Schroder ISF Frontier Markets Eq A,SISFMEA
853,LU0109402221,Templeton Emerging Markets N,TEMEMXA
854,LU0390137973,Templeton Frontier Markets N,TEMFMNE
856,LU0214875030,HSBC GIF BRIC Equity M2 (C),HSBRIM2
857,LU0254981946,HSBC GIF BRIC Markets Equity A (C),HSBRCAC
858,LU0286061501,OFI Invest BRICA R,OMSBRCA
859,LU0232931963,Schroder ISF BRIC A EUR,SCHBREA
861,LU0196696453,HSBC GIF Brazil Equity A (C),JM5C
862,LU0196696966,HSBC GIF Brazil Equity E (C),HSBZECU
864,LU0594300096,Fidelity China Consumer A-Acc-EUR,FIDCAAE
865,LU0048580855,Fidelity Fds Greater China A,FIDLHKI
866,FR0007043781,Ofi Ming,OFIMING
868,IE0004866889,Baring Hong Kong China EUR,BRGHKGE
869,LU1160365091,EdRF China A-EUR,EDRCHAE
870,LU0173614495,Fidelity China Focus A USD,FIDFDFO
871,LU0164865239,HSBC GIF Chinese Equity A (C),JM5U
872,LU0823426308,BNP Paribas China Eq Cl C,INT4280
874,LU0236502315,Amundi Fds SBI FM India Eq EQ G USD C,CAFINDS
875,FR0010479931,EdR India A,STHINDE
876,LU0197230542,Fidelity India Focus A EUR,FIDINAE
877,LU0164881194,HSBC GIF Indian Equity A (C),HSBCIAC
878,LU0058908533,JPM JF India A (D),FLEINDI
880,LU0146864797,DWS Russia,DWWM
881,LU0272828905,East Capital Russia A EUR,ECRFAEU
883,FR0007000351,BSO Asie,BSOASIE
884,LU0145648290,Deutsche Invest I Top Asia LC,DWSTALC
885,LU0368678339,Fidelity Fds Pacific A EUR,FFPACIA
887,IE0004868604,Baring Asia Growth EUR,BRGOCPE
888,FR0007450002,CG Nouvelle Asie,CGNVASI
889,LU0147921554,Ostrum Pacific Rim Equity R/A EUR,CDCPRRE
890,LU0261946445,Fidelity Asia Focus A-Acc-EUR,FSEAAEA
891,LU0048597586,Fidelity Asia Focus A-USD,FIDLSEI
892,LU0054237671,Fidelity Fds Asian Special Sits A USD(D),FIDASSI
893,LU0115143082,Invesco Asia Opportunities Equity E,INVASIE
894,FR0000448953,MAM Asia,MEEASIE
895,FR0007481429,Mansartis Asie,VIGPGCA
896,LU0255977299,Pictet Asian Equities Ex Japan-R EUR,PFASEQR
897,LU0152928064,Templeton Asian Growth N,TEMFRBX
899,GB0000840719,Baring Korea Trust,BRGKOTA
900,LU0048574536,Fidelity Fds Australia A (D),FIDLAUI
901,LU0055114457,Fidelity Fds Indonesia A,FIDINDI
902,LU0048621477,Fidelity Fds Thailand A,FIDLTHI
904,LU0201575346,Amundi Fds Eq Latin America AU-C,LATAEAC
905,LU0171289571,BGF Latin American E2 EUR,MLATEEE
906,LU0050427557,Fidelity Fds Latin America A,FIDLLAI
907,LU0094040077,Templeton Latin America N,TEMLABI
909,LU0569690554,Amundi Fds Eq MENA AE-C,SGMENAE
911,LU1430036985,CS (Lux) Global Robotics Equity BH EUR,CSGRBHE
912,LU1540723068,LO Funds Global Rspnb Eq Syst.H EUR RA,LOGRRAE
914,LU0273147834,Deutsche Invest I Global Agribusiness FC,DWIGAFC
915,BE0947764743,DPAM INVEST B Eqs Sust Food Trnds B Cap,PAMAGRB
917,FR0010058529,AAA Actions Agro Alimentaire R (C),AAACSVI
918,LU1082942308,EdRF Premiumsphere A-EUR,
919,LU0390857471,Nordea-1 Emerging Consumer BP EUR,NOEMBPE
920,LU0217138725,Pictet Premium Brands-R EUR,PPGPMBR
921,LU0217139020,Pictet-Premium Brands-P EUR (C),PPGPMBP
923,FR0007028063,Arc Actions Biotech A,MERCBIO
924,LU1683285164,CS (Lux) Global Digital Hlth Eq B USD,CSGDHBU
925,LU0109394709,Franklin Biotechnology Discovery A USD,TEMBDAI
926,LU0255977455,Pictet Biotech-P EUR,PFBIOPC
927,LU0090689299,Pictet Biotech-P USD,PIPBIOI
929,LU0099575291,Fidelity Global Infrastructure A-EUR,FIDFTLI
931,FR0010592022,Ecofi Enjeux Futurs C,ECDEDUC
932,FR0010748368,LBPAM ISR Actions Environnement C,LBPENVC
933,FR0000970949,MAM Transition Durable Actions C,MEESAEN
934,LU0914733059,Mirova Europe Environmental Eq R/A EUR,NETEXHE
935,LU0406802339,BNP Paribas Climate Impact Cl C,PVENOCC
936,LU0347711466,BNP Paribas Global Envir Cl C,PARGECC
937,LU0823437925,BNP Paribas Green Tigers Cl EUR Cap,FORGRTC
938,FR0010086520,Performance Environnement A,
939,LU0503631987,Pictet - Global Envir Opps R EUR,PIEMSRE
941,LU0171301533,BGF World Energy A2 EUR,MERENYA
942,LU0122376428,BGF World Energy A2 USD,MERENER
943,LU0123357419,Invesco Energy A,INVENFA
944,LU0823414635,BNP Paribas Energy Transition C C,GEQ4426
945,LU0256331488,Schroder ISF Global Energy A USD,SCHGLAA
947,LU0124384867,BGF Sustainable Energy A2 USD,MERNEWA
948,LU0171290074,BGF Sustainable Energy E2,MERNEEE
949,FR0013293495,EdR Energy Evolution C,
950,LU0280435388,Pictet Clean Energy-P EUR,PFLCLEN
951,LU0280435461,Pictet Clean Energy-R EUR,PFLCLNR
952,LU0175571735,RobecoSAM Smart Energy B EUR,JSALU
954,LU1876459303,Axiom Equity R,AXIEQRE
956,FR0000011959,Allianz Immo (C),
957,FR0000095465,Aviva Valeurs Immobilières A/I,CROSIMB
958,FR0000172041,AXA Aedificandi A (C),AXAAEDC
959,FR0010156216,BNP Paribas Immobilier Responsable C C,BNPIMMC
960,LU1379104976,Claresco Foncier Valor P,CLAVALP
961,FR0010444992,CM-CIC Pierre C,CICACTP
962,FR0010541821,Immobilier 21 A (C),IMM21AC
963,FR0011885797,Martin Maurel Pierre Capitalisation R,BMMPCAR
964,FR0010119917,Lazard Actifs Réels C,OBJACTC
965,LU0283511359,BNP Paribas Europe Real Estt Scs Cl C,PAREECA
966,FR0011694256,Sofidy Selection 1 P,SOFSL1P
968,LU0237698757,Fidelity Fds Global Property A EUR,FIDGLAC
969,IE0033534995,Janus Globl Real Estate A EUR Acc Hedged,JANRA2E
971,FR0010668145,BNP Paribas Aqua P,BNPAQUP
972,LU0309082799,DNCA Invest Beyond Infras & Trans B EUR,
973,LU1160360886,EdRF - Infrasphere A-EUR Acc,
974,LU1892829828,Fidelity Sust Water & Waste A Acc EUR,FSWWAAE
975,LU0133061175,JB MP RobecoSAM Sustainable Water B EUR,JBSAMEUR
976,LU0104884860,Pictet-Water-P EUR (C),PICWAPA
977,LU1951229035,Thematics Water R/A EUR,TWAFRAE
979,LU1547512548,BNPP E Energy & Metals EnhRoll Tr ClRH€C,
